frame,iter,TRE_mm,IC,file,script_selected
02,0,25.7713878251,0,iter_00_tumour.stl,0
02,1,12.6766306611,1,iter_01_tumour.stl,0
02,2,12.7188322543,1,iter_02_tumour.stl,0
02,3,12.4582477182,1,iter_03_tumour.stl,0
02,4,11.2346257979,1,iter_04_tumour.stl,0
02,5,9.9490528970,1,iter_05_tumour.stl,0
02,6,8.7662422487,1,iter_06_tumour.stl,1
03,0,27.9718339069,0,iter_00_tumour.stl,0
03,1,13.5644278746,0,iter_01_tumour.stl,0
03,2,14.0366895954,0,iter_02_tumour.stl,0
03,3,13.6531247600,0,iter_03_tumour.stl,0
03,4,12.9691660399,0,iter_04_tumour.stl,0
03,5,11.8843635284,0,iter_05_tumour.stl,0
03,6,9.8263950988,1,iter_06_tumour.stl,1
04,0,26.9444951423,0,iter_00_tumour.stl,0
04,1,13.2131701190,0,iter_01_tumour.stl,0
04,2,14.5076104377,0,iter_02_tumour.stl,0
04,3,13.7370364595,0,iter_03_tumour.stl,0
04,4,12.7334129072,0,iter_04_tumour.stl,0
04,5,11.1483742209,0,iter_05_tumour.stl,0
04,6,10.3043818515,0,iter_06_tumour.stl,0
04,7,10.7502871386,0,iter_07_tumour.stl,0
04,8,11.9349807342,0,iter_08_tumour.stl,0
04,9,13.5931580692,0,iter_09_tumour.stl,0
04,10,15.5117007152,0,iter_10_tumour.stl,1
06,0,29.5150728075,0,iter_00_tumour.stl,0
06,1,15.8477756847,0,iter_01_tumour.stl,0
06,2,16.4435801403,0,iter_02_tumour.stl,0
06,3,16.8115653876,0,iter_03_tumour.stl,0
06,4,16.5653942737,0,iter_04_tumour.stl,0
06,5,15.6990716190,0,iter_05_tumour.stl,0
06,6,14.1526742949,0,iter_06_tumour.stl,1
07,0,32.2274606335,0,iter_00_tumour.stl,0
07,1,18.7309266918,0,iter_01_tumour.stl,0
07,2,18.7542508960,0,iter_02_tumour.stl,0
07,3,18.2025583409,0,iter_03_tumour.stl,0
07,4,16.3432185066,0,iter_04_tumour.stl,0
07,5,14.6790566891,0,iter_05_tumour.stl,0
07,6,13.5746702138,0,iter_06_tumour.stl,1
08,0,32.7968624501,0,iter_00_tumour.stl,0
08,1,22.7622138465,0,iter_01_tumour.stl,0
08,2,23.3205062424,0,iter_02_tumour.stl,0
08,3,23.0544264321,0,iter_03_tumour.stl,0
08,4,22.7365900017,0,iter_04_tumour.stl,0
08,5,21.4695565993,0,iter_05_tumour.stl,0
08,6,20.4161836726,0,iter_06_tumour.stl,0
08,7,19.4491154855,0,iter_07_tumour.stl,1
09,0,37.3633929844,0,iter_00_tumour.stl,0
09,1,28.9252823434,0,iter_01_tumour.stl,0
09,2,29.3455917551,0,iter_02_tumour.stl,0
09,3,28.9411199714,0,iter_03_tumour.stl,0
09,4,28.3448548273,0,iter_04_tumour.stl,0
09,5,27.2290811678,0,iter_05_tumour.stl,1
10,0,37.9451210207,0,iter_00_tumour.stl,0
10,1,29.4113970006,0,iter_01_tumour.stl,0
10,2,30.6904667377,0,iter_02_tumour.stl,0
10,3,30.7223710555,0,iter_03_tumour.stl,0
10,4,30.3368794376,0,iter_04_tumour.stl,0
10,5,29.1875652044,0,iter_05_tumour.stl,1
